Order_ID,Date,Product,Category,City,Quantity,Price
1001,2025-01-01,Laptop,Electronics,Hyderabad,2,55000
1002,2025-01-02,Mobile,Electronics,Bangalore,3,25000
1003,2025-01-03,Headphones,Accessories,Chennai,5,2000
1004,2025-01-05,Laptop,Electronics,Hyderabad,1,55000
1005,2025-01-06,Mouse,Accessories,Bangalore,8,800
1006,2025-01-07,Keyboard,Accessories,Chennai,4,1500
1007,2025-01-10,Mobile,Electronics,Hyderabad,2,25000
1008,2025-01-12,Laptop,Electronics,Mumbai,3,55000
1009,2025-01-15,Headphones,Accessories,Mumbai,7,2000
1010,2025-01-18,Mobile,Electronics,Delhi,4,25000
1011,2025-01-20,Keyboard,Accessories,Delhi,6,1500
1012,2025-01-22,Mouse,Accessories,Hyderabad,10,800
1013,2025-02-01,Laptop,Electronics,Chennai,2,55000
1014,2025-02-03,Mobile,Electronics,Bangalore,5,25000
1015,2025-02-05,Headphones,Accessories,Delhi,6,2000
1016,2025-02-08,Keyboard,Accessories,Mumbai,4,1500
1017,2025-02-10,Mouse,Accessories,Hyderabad,9,800
1018,2025-02-12,Laptop,Electronics,Delhi,2,55000
1019,2025-02-15,Mobile,Electronics,Mumbai,3,25000
1020,2025-02-18,Headphones,Accessories,Chennai,5,2000
